RegionName,Date,Median_Price
"San Diego, CA",1996-02-29,164305.41014901287
"San Diego, CA",1996-03-31,164471.09232884357
"San Diego, CA",1996-04-30,164045.41944111817
"San Diego, CA",1996-05-31,164304.4557645401
"San Diego, CA",1996-06-30,164492.0471800431
"San Diego, CA",1996-07-31,165990.24781012675
"San Diego, CA",1996-08-31,166306.99136608225
"San Diego, CA",1996-09-30,166306.25126040576
"San Diego, CA",1996-10-31,165759.78744106795
"San Diego, CA",1996-11-30,164664.1251114391
"San Diego, CA",1996-12-31,164034.69700678685
"San Diego, CA",1997-01-31,163421.70128173052
"San Diego, CA",1997-02-28,163100.31235882832
"San Diego, CA",1997-03-31,163530.6381278633
"San Diego, CA",1997-04-30,163834.95820775538
"San Diego, CA",1997-05-31,164305.09822874665
"San Diego, CA",1997-06-30,165105.96768675357
"San Diego, CA",1997-07-31,168032.23743036995
"San Diego, CA",1997-08-31,169704.13953744827
"San Diego, CA",1997-09-30,170834.88187110357
"San Diego, CA",1997-10-31,170919.56768691415
"San Diego, CA",1997-11-30,171224.99770549042
"San Diego, CA",1997-12-31,172456.05592568454
"San Diego, CA",1998-01-31,173929.16220599003
"San Diego, CA",1998-02-28,175225.7784828014
"San Diego, CA",1998-03-31,177028.99080766333
"San Diego, CA",1998-04-30,178748.92976747834
"San Diego, CA",1998-05-31,180754.47489730697
"San Diego, CA",1998-06-30,183730.0139051132
"San Diego, CA",1998-07-31,187539.4666534826
"San Diego, CA",1998-08-31,189876.98660156617
"San Diego, CA",1998-09-30,191473.5251136622
"San Diego, CA",1998-10-31,192323.9809588979
"San Diego, CA",1998-11-30,192517.8232631139
"San Diego, CA",1998-12-31,193307.87499132115
"San Diego, CA",1999-01-31,193607.6656327494
"San Diego, CA",1999-02-28,194627.5893
"San Diego, CA",1999-03-31,196572.56037011545
"San Diego, CA",1999-04-30,198427.53467072544
"San Diego, CA",1999-05-31,200664.54841057016
"San Diego, CA",1999-06-30,203244.8988
"San Diego, CA",1999-07-31,208373.62119621187
"San Diego, CA",1999-08-31,210626.00025383208
"San Diego, CA",1999-09-30,211404.0155793398
"San Diego, CA",1999-10-31,212846.9200313959
"San Diego, CA",1999-11-30,213729.75770181968
"San Diego, CA",1999-12-31,214344.60136010175
"San Diego, CA",2000-01-31,216271.44291893096
"San Diego, CA",2000-02-29,218152.35494226805
"San Diego, CA",2000-03-31,221114.9690682415
"San Diego, CA",2000-04-30,224571.8424638191
"San Diego, CA",2000-05-31,227304.60729410293
"San Diego, CA",2000-06-30,232727.97508348452
"San Diego, CA",2000-07-31,239943.40844201655
"San Diego, CA",2000-08-31,243814.32824799657
"San Diego, CA",2000-09-30,246982.84216251937
"San Diego, CA",2000-10-31,248647.16180369735
"San Diego, CA",2000-11-30,250106.59617684444
"San Diego, CA",2000-12-31,251311.56677641437
"San Diego, CA",2001-01-31,251993.71146235903
"San Diego, CA",2001-02-28,255667.6172179435
"San Diego, CA",2001-03-31,261213.89572806552
"San Diego, CA",2001-04-30,265986.5861
"San Diego, CA",2001-05-31,269302.5505094331
"San Diego, CA",2001-06-30,272608.3902290263
"San Diego, CA",2001-07-31,278039.4775453964
"San Diego, CA",2001-08-31,281193.52060065325
"San Diego, CA",2001-09-30,283700.3996519046
"San Diego, CA",2001-10-31,284828.2951972766
"San Diego, CA",2001-11-30,285476.31339330215
"San Diego, CA",2001-12-31,285192.8607282514
"San Diego, CA",2002-01-31,286093.7841
"San Diego, CA",2002-02-28,287991.9065400857
"San Diego, CA",2002-03-31,291915.2483125672
"San Diego, CA",2002-04-30,296308.15395789425
"San Diego, CA",2002-05-31,301549.9224561184
"San Diego, CA",2002-06-30,307229.45117128803
"San Diego, CA",2002-07-31,317607.83148877753
"San Diego, CA",2002-08-31,324487.1767994961
"San Diego, CA",2002-09-30,329035.74492442125
"San Diego, CA",2002-10-31,333983.9383004712
"San Diego, CA",2002-11-30,336214.6016250192
"San Diego, CA",2002-12-31,340073.3372
"San Diego, CA",2003-01-31,342420.57231550285
"San Diego, CA",2003-02-28,345277.99859012617
"San Diego, CA",2003-03-31,352366.35392770375
"San Diego, CA",2003-04-30,358061.2344384877
"San Diego, CA",2003-05-31,364109.5372993588
"San Diego, CA",2003-06-30,369576.93118396035
"San Diego, CA",2003-07-31,382112.59721469594
"San Diego, CA",2003-08-31,387362.9042354522
"San Diego, CA",2003-09-30,393945.5698
"San Diego, CA",2003-10-31,398157.24743200006
"San Diego, CA",2003-11-30,399132.1188
"San Diego, CA",2003-12-31,394127.3179969848
"San Diego, CA",2004-01-31,402452.54455774295
"San Diego, CA",2004-02-29,411906.12650653464
"San Diego, CA",2004-03-31,419371.5092261741
"San Diego, CA",2004-04-30,428933.0876577253
"San Diego, CA",2004-05-31,440422.4158797944
"San Diego, CA",2004-06-30,461724.1644199426
"San Diego, CA",2004-07-31,478219.0788491579
"San Diego, CA",2004-08-31,488523.5373359591
"San Diego, CA",2004-09-30,499350.61569134914
"San Diego, CA",2004-10-31,505558.8623677147
"San Diego, CA",2004-11-30,504940.6223801447
"San Diego, CA",2004-12-31,508102.7637363736
"San Diego, CA",2005-01-31,506921.1616574701
"San Diego, CA",2005-02-28,507387.2982592287
"San Diego, CA",2005-03-31,522101.0034
"San Diego, CA",2005-04-30,530148.1733293482
"San Diego, CA",2005-05-31,534372.0677
"San Diego, CA",2005-06-30,538969.6132893666
"San Diego, CA",2005-07-31,546691.9663107067
"San Diego, CA",2005-08-31,549539.2192639575
"San Diego, CA",2005-09-30,550494.7347489359
"San Diego, CA",2005-10-31,547075.3564264196
"San Diego, CA",2005-11-30,541995.4597890765
"San Diego, CA",2005-12-31,538040.1749
"San Diego, CA",2006-01-31,537596.5377347841
"San Diego, CA",2006-02-28,532153.9294981939
"San Diego, CA",2006-03-31,536500.2407913128
"San Diego, CA",2006-04-30,538658.6088153626
"San Diego, CA",2006-05-31,541004.1285
"San Diego, CA",2006-06-30,541478.7361253044
"San Diego, CA",2006-07-31,543591.1609675306
"San Diego, CA",2006-08-31,540521.5506429013
"San Diego, CA",2006-09-30,538023.8270801042
"San Diego, CA",2006-10-31,532580.2202868485
"San Diego, CA",2006-11-30,527337.3514412607
"San Diego, CA",2006-12-31,519856.8164309072
"San Diego, CA",2007-01-31,514993.09901863127
"San Diego, CA",2007-02-28,511206.1291524898
"San Diego, CA",2007-03-31,503616.2759504781
"San Diego, CA",2007-04-30,501952.6483533153
"San Diego, CA",2007-05-31,500007.7475452841
"San Diego, CA",2007-06-30,496790.40942993294
"San Diego, CA",2007-07-31,498096.5615907078
"San Diego, CA",2007-08-31,499444.0800771453
"San Diego, CA",2007-09-30,490897.5605
"San Diego, CA",2007-10-31,483451.9613164924
"San Diego, CA",2007-11-30,475745.68397417624
"San Diego, CA",2007-12-31,466300.5980799492
"San Diego, CA",2008-01-31,454648.30774882686
"San Diego, CA",2008-02-29,445707.9218
"San Diego, CA",2008-03-31,439711.19357603503
"San Diego, CA",2008-04-30,436678.5332259344
"San Diego, CA",2008-05-31,428412.6413890168
"San Diego, CA",2008-06-30,421507.0011756406
"San Diego, CA",2008-07-31,417779.3927992931
"San Diego, CA",2008-08-31,409826.10218632454
"San Diego, CA",2008-09-30,396110.3238
"San Diego, CA",2008-10-31,388524.22861306195
"San Diego, CA",2008-11-30,378544.7723041987
"San Diego, CA",2008-12-31,369157.9973524235
"San Diego, CA",2009-01-31,364008.7041353446
"San Diego, CA",2009-02-28,362197.0827893581
"San Diego, CA",2009-03-31,362799.0318333256
"San Diego, CA",2009-04-30,355372.2364652075
"San Diego, CA",2009-05-31,358531.2774097265
"San Diego, CA",2009-06-30,351787.6016
"San Diego, CA",2009-07-31,356989.5788025041
"San Diego, CA",2009-08-31,357369.1168371616
"San Diego, CA",2009-09-30,357785.26582088985
"San Diego, CA",2009-10-31,357618.97428542614
"San Diego, CA",2009-11-30,362056.34567972075
"San Diego, CA",2009-12-31,360379.4392120649
"San Diego, CA",2010-01-31,359675.2502567727
"San Diego, CA",2010-02-28,361972.08324423904
"San Diego, CA",2010-03-31,365790.4510967926
"San Diego, CA",2010-04-30,372136.8903032225
"San Diego, CA",2010-05-31,370983.0684522878
"San Diego, CA",2010-06-30,369872.85148106987
"San Diego, CA",2010-07-31,373123.91943536175
"San Diego, CA",2010-08-31,370957.4853794023
"San Diego, CA",2010-09-30,365404.02086066105
"San Diego, CA",2010-10-31,359253.47274586814
"San Diego, CA",2010-11-30,355119.77141901874
"San Diego, CA",2010-12-31,352811.2034819278
"San Diego, CA",2011-01-31,348758.7188934091
"San Diego, CA",2011-02-28,346889.32599527517
"San Diego, CA",2011-03-31,345943.6867
"San Diego, CA",2011-04-30,347127.0443892889
"San Diego, CA",2011-05-31,347186.1542049265
"San Diego, CA",2011-06-30,346817.78690960596
"San Diego, CA",2011-07-31,348623.0652040784
"San Diego, CA",2011-08-31,342812.56111001625
"San Diego, CA",2011-09-30,339650.0637072179
"San Diego, CA",2011-10-31,337392.6085371258
"San Diego, CA",2011-11-30,334071.6906
"San Diego, CA",2011-12-31,329696.9681511838
"San Diego, CA",2012-01-31,332140.17790341727
"San Diego, CA",2012-02-29,332300.01240157976
"San Diego, CA",2012-03-31,333530.23119707295
"San Diego, CA",2012-04-30,335130.9898295363
"San Diego, CA",2012-05-31,338662.4395300487
"San Diego, CA",2012-06-30,343396.4287699522
"San Diego, CA",2012-07-31,347764.0812711697
"San Diego, CA",2012-08-31,351301.6148815703
"San Diego, CA",2012-09-30,354970.40273704735
"San Diego, CA",2012-10-31,357535.04251101776
"San Diego, CA",2012-11-30,360256.0754
"San Diego, CA",2012-12-31,363163.1136938146
"San Diego, CA",2013-01-31,366769.4682400944
"San Diego, CA",2013-02-28,370938.8462441259
"San Diego, CA",2013-03-31,376224.92475137487
"San Diego, CA",2013-04-30,384413.7337572261
"San Diego, CA",2013-05-31,394925.87322670023
"San Diego, CA",2013-06-30,404581.25174092327
"San Diego, CA",2013-07-31,413334.7895248834
"San Diego, CA",2013-08-31,420239.2865
"San Diego, CA",2013-09-30,425077.78915881045
"San Diego, CA",2013-10-31,426967.4831823448
"San Diego, CA",2013-11-30,426744.7365258856
"San Diego, CA",2013-12-31,427086.5155632649
"San Diego, CA",2014-01-31,428138.946903692
"San Diego, CA",2014-02-28,431165.5639567413
"San Diego, CA",2014-03-31,436386.45787068654
"San Diego, CA",2014-04-30,442569.46448147006
"San Diego, CA",2014-05-31,447947.73727215553
"San Diego, CA",2014-06-30,451347.69355011394
"San Diego, CA",2014-07-31,452937.0976269426
"San Diego, CA",2014-08-31,453935.65463813505
"San Diego, CA",2014-09-30,455499.54887947405
"San Diego, CA",2014-10-31,455391.12848040863
"San Diego, CA",2014-11-30,456319.4258365339
"San Diego, CA",2014-12-31,456599.74606739415
"San Diego, CA",2015-01-31,458077.2025750792
"San Diego, CA",2015-02-28,461755.8570878831
"San Diego, CA",2015-03-31,466662.25768803264
"San Diego, CA",2015-04-30,470783.66911523894
"San Diego, CA",2015-05-31,476598.6423084476
"San Diego, CA",2015-06-30,481118.5253877353
"San Diego, CA",2015-07-31,484802.6861
"San Diego, CA",2015-08-31,488955.1234540241
"San Diego, CA",2015-09-30,492743.4595025662
"San Diego, CA",2015-10-31,494637.5492898608
"San Diego, CA",2015-11-30,496670.1600663566
"San Diego, CA",2015-12-31,497789.5777986837
"San Diego, CA",2016-01-31,500896.3539529577
"San Diego, CA",2016-02-29,504609.4567693924
"San Diego, CA",2016-03-31,507520.4864049899
"San Diego, CA",2016-04-30,510693.4369181635
"San Diego, CA",2016-05-31,514591.43432546506
"San Diego, CA",2016-06-30,518730.8586669285
"San Diego, CA",2016-07-31,522038.58641979826
"San Diego, CA",2016-08-31,523998.73473815335
"San Diego, CA",2016-09-30,524419.5801297826
"San Diego, CA",2016-10-31,526731.3992367747
"San Diego, CA",2016-11-30,528697.3228125146
"San Diego, CA",2016-12-31,532260.0241745159
"San Diego, CA",2017-01-31,534451.2921970666
"San Diego, CA",2017-02-28,538495.5516450144
"San Diego, CA",2017-03-31,543117.2198867108
"San Diego, CA",2017-04-30,549001.5235204895
"San Diego, CA",2017-05-31,553994.4071823494
"San Diego, CA",2017-06-30,559754.3897622025
"San Diego, CA",2017-07-31,563792.8390601453
"San Diego, CA",2017-08-31,567525.0480171004
"San Diego, CA",2017-09-30,570433.1802718486
"San Diego, CA",2017-10-31,572373.3170765677
"San Diego, CA",2017-11-30,572607.7673925187
"San Diego, CA",2017-12-31,575494.5847794195
"San Diego, CA",2018-01-31,576204.6514416306
"San Diego, CA",2018-02-28,576984.7849
"San Diego, CA",2018-03-31,581057.8737926784
"San Diego, CA",2018-04-30,585471.2968488933
"San Diego, CA",2018-05-31,590274.2452179731
"San Diego, CA",2018-06-30,593049.9568014424
"San Diego, CA",2018-07-31,596097.7518415514
"San Diego, CA",2018-08-31,596392.6795739246
"San Diego, CA",2018-09-30,595245.4827952014
"San Diego, CA",2018-10-31,593229.3785601523
"San Diego, CA",2018-11-30,589627.3871133298
"San Diego, CA",2018-12-31,585278.2892735179
"San Diego, CA",2019-01-31,584520.3772
"San Diego, CA",2019-02-28,584937.8724
"San Diego, CA",2019-03-31,588736.4924777785
"San Diego, CA",2019-04-30,593445.1002666523
"San Diego, CA",2019-05-31,595609.4060348412
"San Diego, CA",2019-06-30,599885.3622722694
"San Diego, CA",2019-07-31,602163.2227997322
"San Diego, CA",2019-08-31,602463.9099
"San Diego, CA",2019-09-30,601848.1499521722
"San Diego, CA",2019-10-31,601772.9231874981
"San Diego, CA",2019-11-30,602570.3380826056
"San Diego, CA",2019-12-31,603388.4474806624
"San Diego, CA",2020-01-31,606229.4049940689
"San Diego, CA",2020-02-29,611295.9629424219
"San Diego, CA",2020-03-31,617964.8925366432
"San Diego, CA",2020-04-30,624697.8326515515
